0.0.0.0,68,255.255.255.255,67,udp,0.0,342,,0
192.168.50.1,53,192.168.50.154,54465,udp,0.0,139,,0
192.168.50.1,53,192.168.50.154,54467,udp,0.0,141,,0
192.168.50.1,53,192.168.50.154,54527,udp,0.0,197,,0
192.168.50.1,53,192.168.50.154,54629,udp,0.0,219,,0
192.168.50.1,53,192.168.50.154,54630,udp,0.0,143,,0
192.168.50.1,53,192.168.50.154,54694,udp,0.0,160,,0
192.168.50.1,53,192.168.50.154,54759,udp,818.8282461166382,4467,,0
192.168.50.1,53,192.168.50.154,54798,udp,0.0,220,,0
192.168.50.1,53,192.168.50.154,54918,udp,0.0,224,,0
192.168.50.1,53,192.168.50.154,55014,udp,0.0,224,,0
192.168.50.1,53,192.168.50.154,55074,udp,0.0,253,,0
192.168.50.1,53,192.168.50.154,55095,udp,660.1510996818542,1081,,0
192.168.50.1,53,192.168.50.154,55211,udp,0.0,175,,0
192.168.50.1,53,192.168.50.154,55230,udp,0.0,251,,0
192.168.50.1,53,192.168.50.154,55236,udp,0.0,376,,0
192.168.50.1,53,192.168.50.154,55255,udp,0.0,206,,0
192.168.50.1,53,192.168.50.154,55284,udp,0.0,202,,0
192.168.50.1,53,192.168.50.154,55293,udp,510.132155418396,4509,,0
192.168.50.1,53,192.168.50.154,55320,udp,0.0,224,,0
192.168.50.1,53,192.168.50.154,55353,udp,0.0,302,,0
192.168.50.1,53,192.168.50.154,55507,udp,0.0,179,,0
192.168.50.1,53,192.168.50.154,55523,udp,0.0,179,,0
192.168.50.1,53,192.168.50.154,55728,udp,0.0,224,,0
192.168.50.1,53,192.168.50.154,55775,udp,0.0,160,,0
192.168.50.1,53,192.168.50.154,55838,udp,0.0,302,,0
192.168.50.1,53,192.168.50.154,56031,udp,0.0,206,,0
192.168.50.1,53,192.168.50.154,56034,udp,0.0,159,,0
192.168.50.1,53,192.168.50.154,56059,udp,0.0,152,,0
192.168.50.1,53,192.168.50.154,56080,udp,0.0,216,,0
192.168.50.1,53,192.168.50.154,56125,udp,0.0,219,,0
192.168.50.1,53,192.168.50.154,56172,udp,0.0,90,,0
192.168.50.1,53,192.168.50.154,56207,udp,0.0,111,,0
192.168.50.1,53,192.168.50.154,56256,udp,0.0,143,,0
192.168.50.1,53,192.168.50.154,56454,udp,0.0,159,,0
192.168.50.1,53,192.168.50.154,56505,udp,0.0,159,,0
192.168.50.1,53,192.168.50.154,56568,udp,0.0,216,,0
192.168.50.1,53,192.168.50.154,56653,udp,0.0,139,,0
192.168.50.1,53,192.168.50.154,56671,udp,0.0,139,,0
192.168.50.1,53,192.168.50.154,56789,udp,0.0,141,,0
192.168.50.1,53,192.168.50.154,56820,udp,0.0,90,,0
192.168.50.1,53,192.168.50.154,56859,udp,0.0,164,,0
192.168.50.1,53,192.168.50.154,56892,udp,0.0,202,,0
192.168.50.1,53,192.168.50.154,56937,udp,0.0,218,,0
192.168.50.1,53,192.168.50.154,57092,udp,0.0,107,,0
192.168.50.1,53,192.168.50.154,57234,udp,0.0,224,,0
192.168.50.1,53,192.168.50.154,57283,udp,0.0,302,,0
192.168.50.1,53,192.168.50.154,57294,udp,0.0,189,,0
192.168.50.1,53,192.168.50.154,57611,udp,0.0,90,,0
192.168.50.1,53,192.168.50.154,57742,udp,0.0,159,,0
192.168.50.1,53,192.168.50.154,57778,udp,277.0697946548462,360,,0
192.168.50.1,53,192.168.50.154,57863,udp,0.0,175,,0
192.168.50.1,53,192.168.50.154,57887,udp,0.0,154,,0
192.168.50.1,53,192.168.50.154,57950,udp,0.0,164,,0
192.168.50.1,53,192.168.50.154,58074,udp,0.0,141,,0
192.168.50.1,53,192.168.50.154,58135,udp,0.0,152,,0
192.168.50.1,53,192.168.50.154,58289,udp,0.0,164,,0
192.168.50.1,53,192.168.50.154,58309,udp,0.0,175,,0
192.168.50.1,53,192.168.50.154,58339,udp,0.0,206,,0
192.168.50.1,53,192.168.50.154,58824,udp,0.0,219,,0
192.168.50.1,53,192.168.50.154,58904,udp,0.0,175,,0
192.168.50.1,53,192.168.50.154,58967,udp,0.0,204,,0
192.168.50.1,53,192.168.50.154,59221,udp,0.0,159,,0
192.168.50.1,53,192.168.50.154,59236,udp,0.0,219,,0
192.168.50.1,53,192.168.50.154,59329,udp,0.0,141,,0
